geographic_area,city,median_income,percent_completed_hs,poverty_rate,share_white,share_black,share_native_american,share_asian,share_hispanic,count
IL,Lyons,44534.0,83.1,15.2,74.9,4.2,0.8,1.4,38.3,1
IL,Maeystown,50417.0,93.8,13.2,97.5,0.0,0.0,2.5,1.3,1
IL,Marion,42839.0,90.3,18.2,87.8,7.4,0.4,1.5,2.6,1
IL,Markham,34433.0,83.1,25.8,12.7,81.0,0.2,0.7,6.7,1
IL,Metropolis,31875.0,77.2,23.0,87.3,8.3,0.6,0.4,2.1,2
IL,North Riverside,59821.0,93.0,11.2,81.2,6.5,0.1,2.1,23.8,1
IL,Rantoul,38769.0,86.7,25.1,66.4,22.7,0.6,1.7,9.7,1
IL,River Forest,99250.0,96.6,4.4,84.8,6.7,0.1,4.5,6.0,1
IL,Rockford,38716.0,83.1,24.8,65.1,20.5,0.4,2.9,15.8,1
IL,Rock Island,41243.0,86.9,22.6,72.3,18.3,0.3,1.8,9.4,1
IL,Round Lake,72659.0,86.1,5.8,68.9,4.8,0.5,12.8,25.3,1
IL,Springfield,49868.0,90.8,19.5,75.8,18.5,0.2,2.2,2.0,1
IL,Stockton,37500.0,94.1,16.1,98.5,0.2,0.1,0.4,1.9,1
IL,Villa Park,70176.0,90.9,9.8,81.0,4.3,0.3,5.2,17.8,1
IL,Washington Park,26136.0,71.7,41.8,11.2,86.1,0.2,0.1,2.7,1
IL,Zion,46313.0,81.3,19.2,48.9,31.0,0.4,2.3,27.7,2
IN,Avon,91393.0,94.2,3.3,86.7,5.9,0.3,3.3,4.3,1
IN,Beech Grove,36487.0,85.7,21.6,91.5,3.2,0.3,0.7,4.2,1
IN,Brookville,38333.0,85.4,16.0,97.5,0.3,0.3,0.2,1.6,1
IN,Elkhart,35371.0,77.6,26.7,66.1,15.4,0.6,0.9,22.5,1
IN,English,17438.0,67.1,39.6,97.5,0.3,0.6,0.2,0.8,1
IN,Evansville,35785.0,87.5,21.0,82.0,12.6,0.3,1.0,2.6,1
IN,Fishers,95487.0,97.4,3.2,85.6,5.6,0.2,5.5,3.4,1
IN,Fort Wayne,43774.0,88.3,19.0,73.6,15.4,0.4,3.3,8.0,4
IN,French Lick,28603.0,72.9,33.7,88.8,5.8,0.3,1.2,2.1,1
IN,Gary,28020.0,83.9,37.1,10.7,84.8,0.3,0.2,5.1,1
IN,Goshen,41117.0,76.0,22.6,78.2,2.6,0.5,1.2,28.1,1
IN,Greenwood,54176.0,91.5,13.7,90.1,1.7,0.3,3.7,5.0,1
IN,Hanover,40758.0,83.7,24.8,94.9,2.3,0.2,0.8,2.4,1
IN,Harmony,41853.0,89.4,6.8,97.6,0.8,0.0,0.3,1.2,1
IN,Knox,33125.0,75.1,20.9,96.3,0.4,0.2,0.3,2.9,1
IN,Kokomo,37623.0,86.3,21.3,83.5,10.7,0.4,1.0,3.3,1
IN,Lafayette,40419.0,85.6,19.8,83.6,6.2,0.4,1.4,12.1,1
IN,Monon,35542.0,74.5,31.1,77.2,0.6,0.4,0.2,28.4,1
IN,Muncie,31044.0,86.4,32.2,84.0,10.9,0.3,1.2,2.3,3
IN,Portage,53730.0,88.2,16.3,83.6,7.3,0.4,0.9,16.4,1
IN,Shelbyville,43395.0,83.4,16.9,91.9,1.9,0.2,1.0,7.1,2
IN,Terre Haute,31817.0,84.4,27.4,83.5,10.9,0.4,1.4,3.1,1
IN,Vincennes,35455.0,85.4,23.9,91.9,4.7,0.3,0.7,1.9,1
IA,Boone,46486.0,94.3,10.9,96.7,0.8,0.3,0.4,2.0,1
IA,Burlington,39586.0,89.7,19.6,88.2,7.2,0.3,0.8,3.1,1
IA,Cedar Rapids,53581.0,93.5,12.3,88.0,5.6,0.3,2.2,3.3,2
IA,Des Moines,46290.0,87.3,20.0,76.4,10.2,0.5,4.4,12.0,3
IA,Fort Madison,42595.0,91.7,17.7,89.3,5.5,0.4,0.6,6.7,1
IA,North English,46625.0,91.4,18.9,99.2,0.3,0.0,0.0,0.7,1
IA,Sioux City,43888.0,83.6,15.7,80.6,2.9,2.6,2.7,16.4,1
IA,Urbandale,78059.0,97.0,5.9,91.1,2.8,0.1,3.5,3.1,1
IA,Wellman,56983.0,93.2,5.7,97.3,0.1,0.5,0.1,1.8,1
KS,Assaria,51250.0,95.9,8.2,98.3,0.0,0.2,0.0,1.9,1
KS,Colby,44679.0,92.0,11.1,95.7,0.7,0.4,0.6,4.0,1
KS,Gardner,67422.0,94.4,3.8,89.7,3.0,0.5,1.9,6.2,1
KS,Hays,42976.0,94.5,17.7,92.8,1.1,0.3,1.8,4.7,2
KS,Hesston,59646.0,99.3,11.1,92.7,1.6,0.6,1.7,4.5,1
KS,Hutchinson,42350.0,87.6,13.9,87.9,4.3,0.7,0.6,10.6,2
KS,Kansas City,38749.0,77.8,24.9,52.2,26.8,0.8,2.7,27.8,2
KS,Leavenworth,52785.0,90.8,16.4,75.4,15.1,0.9,1.8,8.1,1
KS,Lehigh,65625.0,96.5,7.7,96.6,0.0,0.0,0.0,4.0,1
KS,McPherson,53566.0,94.4,6.2,93.2,1.5,0.4,0.8,4.8,1
KS,Medicine Lodge,54125.0,91.6,16.4,96.3,0.7,0.3,0.4,2.4,1
KS,Newton,45266.0,88.1,16.8,88.4,2.2,0.9,0.8,16.3,1
KS,Olathe,77335.0,94.0,6.9,83.1,5.3,0.4,4.1,10.2,1
